id,employee_id,employee_name,designation,salary,retirement,other_benefits,total_benefits,total_compensation
86,46629,Earl Simmons,Deputy Probation Officer,35267.0,0.0,2730.36,7467.05,42734.05
87,46637,Nicholas Herrera,Deputy Probation Officer,86221.22,15186.49,1435.42,29540.15,115761.37
88,46714,Tanya Cunningham,Deputy Probation Officer,78183.64,13769.94,1316.83,28005.01,106188.65
89,47110,Justin Gonzalez,Deputy Probation Officer,79526.57,14009.91,1350.93,28279.08,107805.65
90,47541,Allen Howard,Deputy Probation Officer,64888.2,11528.79,1102.28,22678.59,87566.79
91,47802,Daniel Munoz,Deputy Probation Officer,96152.51,16940.51,224.31,30083.06,126235.57
92,48056,Angel Cole,Deputy Probation Officer,95663.21,16853.91,1625.26,31331.63,126994.84
93,48373,Brandon Hill,Deputy Probation Officer,96152.56,16940.51,1633.57,31492.32,127644.88
94,48620,Taylor Sullivan,Deputy Probation Officer,76487.01,13469.77,1246.83,27634.84,104121.85
95,48708,Devon Gonzalez,Deputy Probation Officer,96242.03,16955.8,1635.09,31509.13,127751.16
96,48997,Matthew Garza,Deputy Probation Officer,76487.02,13469.77,1273.25,27661.26,104148.28
97,49370,Samuel Perez,Deputy Probation Officer,64523.45,11381.51,1073.94,24772.1,89295.55
98,49580,Jason Wong,Deputy Probation Officer,96460.5,16998.39,1637.33,31547.99,128008.49
99,50368,Joshua Cox,Deputy Probation Officer,2685.01,0.0,207.87,566.71,3251.72
100,50802,Elizabeth Davidson,Deputy Probation Officer,96152.51,16940.51,1581.14,31439.89,127592.4
101,52533,Mrs. Melissa Peterson,Deputy Probation Officer,93962.69,16545.23,1577.88,30877.66,124840.35
102,52859,Jennifer Medina,Deputy Probation Officer,0.0,0.0,162.47,170.06,11374.92
103,53635,Terry Simmons PhD,Deputy Probation Officer,61938.37,10961.42,1049.9,20339.34,82277.71
104,55468,Julie Elliott,Deputy Probation Officer,96152.53,16940.51,228.02,30086.77,126239.3
105,5560,Spencer Olson,Deputy Probation Officer,96106.0,16934.31,1631.31,31477.89,127583.89
106,55669,Dr. Autumn Carlson MD,Deputy Probation Officer,70308.22,12322.65,1150.02,24486.91,94795.13
107,55815,Jeffrey Shaw,Deputy Probation Officer,66139.71,11647.69,1100.86,25666.8,91806.51
108,56336,Kimberly Johnson,Deputy Probation Officer,66139.72,11647.69,1100.86,25666.79,91806.51
109,6285,Carrie Barnes,Deputy Probation Officer,51402.5,9293.63,126.86,16358.06,69971.21
110,6462,Anne Johnson,Deputy Probation Officer,59164.84,10354.94,960.58,20940.69,80105.53
111,6763,John Bell,Deputy Probation Officer,86221.22,15186.48,1433.94,29538.66,115759.88
112,6867,Oscar Olson,Deputy Probation Officer,89674.6,15790.32,1468.87,30177.43,119852.03
113,721,Danielle Gregory,Deputy Probation Officer,76266.2,13432.04,1295.51,27645.79,103911.99
114,830,Javier Fuller,Deputy Probation Officer,96152.5,16940.51,1581.14,31439.89,127592.39
115,8606,Timothy Carroll,Deputy Probation Officer,96154.29,16939.04,1615.14,31472.42,127626.71
116,8727,Brian Evans,Deputy Probation Officer,96152.51,16940.51,240.23,30098.98,126251.49
117,17958,Jacqueline Richards,Deputy Probation Officer SFERS,60164.0,11840.67,1021.77,25780.68,85944.68
118,18904,Alan Camacho,Deputy Probation Officer SFERS,60164.01,11840.67,998.95,25757.87,85921.88
119,24903,Michelle Fritz,Deputy Probation Officer SFERS,60164.0,12121.73,1023.33,26063.3,87642.37
120,27404,James Cruz,Deputy Probation Officer SFERS,60164.0,11840.67,1001.31,25760.22,85924.22
121,27439,Morgan Briggs,Deputy Probation Officer SFERS,60164.02,11840.67,1014.78,25773.71,85937.73
122,29057,Brandon Dominguez,Deputy Probation Officer SFERS,73346.0,14428.9,1220.93,28568.07,101914.07
123,33086,Robin Rivera,Deputy Probation Officer SFERS,60164.0,11840.67,1001.31,25760.22,85924.22
124,34583,Latoya Pham,Deputy Probation Officer SFERS,83331.63,16413.11,1415.62,30594.59,113926.22
125,35303,Patrick King,Deputy Probation Officer SFERS,60164.0,11840.67,1001.31,25760.22,85924.22
126,38937,Seth Marshall,Deputy Probation Officer SFERS,60164.0,11840.67,948.88,25707.79,85871.79
127,41827,Scott Andrade,Deputy Probation Officer SFERS,50908.04,9867.32,847.22,21718.97,72627.01
128,48074,Dennis Lee,Deputy Probation Officer SFERS,15463.0,3296.72,257.38,6903.28,22366.28
129,48187,Jodi Molina,Deputy Probation Officer SFERS,60164.01,11840.68,1001.87,25760.79,85924.8
130,48877,Gina Martin,Deputy Probation Officer SFERS,60164.01,11840.68,1001.31,25760.23,85924.24
131,48923,Gina Pratt,Deputy Probation Officer SFERS,60164.0,11851.33,964.66,25734.23,85948.23
132,51354,Matthew Salinas,Deputy Probation Officer SFERS,60149.56,11837.6,1001.07,25753.93,85903.49
133,7099,Samantha Hicks,Deputy Probation Officer SFERS,60164.01,11840.68,1002.33,25761.25,85925.26
134,10391,Kirk Delgado,Clerk,46343.71,10497.78,3696.71,27112.73,73456.44
135,32151,Bryan Henderson,Clerk,15481.13,3206.13,1254.74,8766.95,24248.08
136,54778,Lisa Cunningham,Clerk,20891.03,3190.88,1683.07,11093.84,31984.87
137,53794,Jessica Chaney,Principal Clerk,58697.17,11790.73,5012.02,27313.18,87377.58
138,17679,Benjamin Gonzalez,Chief Clerk,71363.0,14039.7,5551.19,32215.25,103578.25
139,12705,Brent Gray,Clerk Typist,5030.71,916.1,414.25,2517.21,7547.92
140,2144,Miguel Marquez,Clerk Typist,54756.02,11075.22,4590.99,28584.45,84948.47
141,21979,Joan Jones,Clerk Typist,42588.0,8543.67,3498.61,22089.8,64677.8
142,41072,Tiffany Tate,Clerk Typist,54132.92,10768.65,4442.71,27982.6,82756.16
143,41532,Marissa Davis,Clerk Typist,54756.04,11091.06,4553.06,28562.36,85006.4
144,47220,Larry Powers,Clerk Typist,54696.72,10875.9,4494.38,28274.53,83618.55
145,48248,Herbert Hunter,Sr Payroll & Personnel Clerk,65100.99,12645.3,5330.7,29356.26,94457.25
146,21079,Ronald Mckinney,Senior Account Clerk,18472.0,3363.76,1483.03,8674.42,27146.42
147,26917,Maria Torres,Senior Account Clerk,37886.0,7998.24,3064.96,20153.82,58039.82
148,15578,Michelle Rogers,Management Assistant,71626.42,14085.42,5564.6,32552.66,104179.08
149,34205,Tiffany Simon,Sr Community Devl Spc 1,21966.01,4683.14,1776.61,9808.93,31774.94
150,39039,Brett Robinson,Sr Community Dev Spec 2,24636.0,5252.4,2010.49,10133.62,34769.62
151,12883,Melissa Singh,Publ Svc Aide-Asst To Prof,16978.6,0.0,1314.49,7283.19,24261.79
152,15516,Michael Cameron,Publ Svc Aide-Asst To Prof,14904.04,0.0,1153.87,6393.29,21297.33
153,16033,Tracie Jimenez,Publ Svc Aide-Asst To Prof,3368.49,0.0,260.79,1444.96,4813.45
154,1874,David Trujillo,Publ Svc Aide-Asst To Prof,1071.79,0.0,82.98,459.76,1531.55
155,21333,Nicole Hoover,Publ Svc Aide-Asst To Prof,2943.16,0.0,227.86,1262.52,4205.68
156,24106,Nathan Dunn,Publ Svc Aide-Asst To Prof,12300.05,0.0,895.39,5219.41,17519.46
157,26181,Richard Jones,Publ Svc Aide-Asst To Prof,13593.02,0.0,1052.37,5830.92,19423.94
158,26196,Mark Martinez,Publ Svc Aide-Asst To Prof,9271.88,0.0,717.83,3977.29,13249.17
159,26233,Madeline Cordova,Publ Svc Aide-Asst To Prof,13948.23,0.0,1079.86,5983.29,19931.52
160,28284,Charles Moreno,Publ Svc Aide-Asst To Prof,7120.45,0.0,551.27,3054.42,10174.87
161,30910,Mark Finley,Publ Svc Aide-Asst To Prof,13967.36,0.0,1081.36,5991.49,19958.85
162,34551,George Graham,Publ Svc Aide-Asst To Prof,15056.12,0.0,1165.65,6458.54,21514.66
163,40424,Heather Santos,Publ Svc Aide-Asst To Prof,4125.56,0.0,319.4,1769.71,5895.27
164,42785,Mrs. Melissa Roy DVM,Publ Svc Aide-Asst To Prof,595.44,0.0,46.1,255.43,850.87
165,44541,Jessica Cole,Publ Svc Aide-Asst To Prof,6515.81,0.0,504.45,2795.05,9310.86
166,54778,Anthony Woodard,Publ Svc Aide-Asst To Prof,7604.57,0.0,588.74,3262.1,10866.67
167,54806,Aaron Adams,Publ Svc Aide-Asst To Prof,8174.55,0.0,632.88,3506.59,11681.14
168,9692,Tiffany Green,Publ Svc Aide-Asst To Prof,5375.98,0.0,416.2,2306.09,7682.07
169,10720,Michael Garcia,Sprv Adult Probation Ofc,108637.02,19140.07,1758.3,33816.61,142453.63
170,1517,Mary Brown,Sprv Adult Probation Ofc,99059.17,17408.44,1672.96,30855.72,129914.89
171,16725,Brittany Thompson,Sprv Adult Probation Ofc,105236.48,18530.27,1786.98,33219.28,138455.76
172,19809,Anna Bruce,Sprv Adult Probation Ofc,109986.92,19376.93,1835.71,34130.88,144117.8
173,2154,Mallory Rojas,Sprv Adult Probation Ofc,108637.0,19140.06,266.28,32324.58,140961.58
174,27167,Andrew Mcdaniel,Sprv Adult Probation Ofc,108637.03,19140.09,258.57,32316.9,140953.93
175,27853,Michael Harmon,Sprv Adult Probation Ofc,108637.0,19140.06,1833.29,33891.59,142528.59
176,33169,Brittany Rich,Sprv Adult Probation Ofc,108637.03,19140.09,1758.3,33816.63,142453.66
177,35593,Curtis Herrera,Sprv Adult Probation Ofc,40060.01,7242.81,98.22,12125.57,72215.58
178,49532,Mariah Guzman,Sprv Adult Probation Ofc,105365.7,18553.63,1788.15,33260.02,138625.72
179,50429,Patricia Martin,Sprv Adult Probation Ofc,108637.02,19140.07,1845.36,33903.67,142540.69
180,8274,Amanda Parker,Sprv Adult Probation Ofc,108637.05,19140.09,1843.77,33902.1,142539.15
181,55173,Diana Brown,Sprv Adult Prob Ofc (SFERS),95372.51,18773.21,1585.84,33277.29,128649.8
182,21476,James Chen,"Court Invstgtor, Superior Crt",111893.0,22112.69,9409.57,44440.5,158835.5
183,30448,Tyler Scott,"Court Invstgtor, Superior Crt",111456.15,21656.71,9268.62,43843.57,155923.72
184,31142,Stephanie Rubio,"Court Invstgtor, Superior Crt",111892.99,21744.26,9301.45,43963.95,156456.94
185,53041,Paul West,"Court Invstgtor, Superior Crt",111877.85,21738.62,9302.15,43959.01,156460.86
186,5435,Zachary Boyd,"Court Invstgtor, Superior Crt",111893.03,21627.63,8719.52,43265.39,155158.42
187,9566,Julia Holder,"Court Invstgtor, Superior Crt",31917.22,6860.86,2695.12,13344.38,45693.6
188,374,Amy Dixon,Probate Examiner,111877.83,21753.74,9246.41,43918.39,156495.22
189,47846,Erin Mullen,Probate Examiner,110446.46,21489.24,9049.15,43299.65,154394.11
190,49066,Kathryn Camacho,Probate Examiner,20027.4,4269.84,1592.67,8637.55,28664.95
191,56058,Kara Mclaughlin,Probate Examiner,111877.85,21742.87,9223.44,43884.55,156410.4
192,15324,Mrs. Morgan Sullivan,"Counselor, Family Court Svc",62060.35,12688.09,5225.58,24904.18,90228.63
193,1673,Lisa Gray,"Counselor, Family Court Svc",91190.33,17573.61,7260.99,35279.96,126662.29
194,23110,Mark Jimenez,"Counselor, Family Court Svc",73211.03,15768.21,6073.81,30687.43,108859.29
195,27707,Michael Long,"Counselor, Family Court Svc",111678.0,23095.94,9499.09,45489.35,165000.59
196,34636,Matthew Wade,"Counselor, Family Court Svc",68526.72,14300.11,6178.52,28229.57,102356.75
197,43233,Kimberly Medina,"Counselor, Family Court Svc",111877.86,23165.26,9505.38,45588.88,165459.01
198,45355,Crystal Buchanan,"Counselor, Family Court Svc",111914.9,22799.34,9351.91,45069.49,163051.63
199,545,John Paul,"Counselor, Family Court Svc",111877.88,22792.79,9444.39,45155.42,163100.55
200,16174,Daniel Conrad,"Research Asst, Superior Court",61873.1,11733.11,5307.35,26370.31,90706.57
201,18716,Richard Huff,"Research Asst, Superior Court",66717.3,6086.9,5517.78,22944.03,89661.33
202,227,Terry Gray,"Research Asst, Superior Court",90702.49,17798.9,7498.9,38216.04,128918.53
203,23839,Justin Collins,"Research Asst, Superior Court",11420.0,0.0,928.02,2363.38,13783.38
204,23880,Jessica Dickerson,"Research Asst, Superior Court",66748.78,12693.27,6029.79,28292.13,101749.53
205,2569,Diane Nelson,"Research Asst, Superior Court",64309.58,12242.04,6251.01,28157.81,104435.16
206,26037,Rachel Martinez,"Research Asst, Superior Court",85720.58,16806.05,7086.79,36811.08,122531.66
207,29996,Maxwell Macias,"Research Asst, Superior Court",70166.93,13490.41,6306.78,30394.94,106872.8
208,31477,Crystal Fuller,"Research Asst, Superior Court",51054.49,9345.98,4766.47,21289.25,79475.63
209,36453,Donna Howard,"Research Asst, Superior Court",58972.3,4260.83,4860.57,19121.08,78093.38
210,39189,Jorge Owens,"Research Asst, Superior Court",85532.0,16766.1,7070.65,36754.99,122286.99
211,39364,Debra Thompson,"Research Asst, Superior Court",13418.5,0.0,1088.55,3337.28,16755.78
212,45766,Wanda Campos,"Research Asst, Superior Court",90391.08,17732.93,7154.55,37805.72,128196.8
213,47410,Walter Hernandez,"Research Asst, Superior Court",19985.0,0.0,1632.35,4981.53,24966.53
214,47830,Juan Smith,"Research Asst, Superior Court",90309.13,17715.56,7404.16,38037.96,128347.09
215,51731,Erin Perez,"Research Asst, Superior Court",21412.5,0.0,1745.65,5334.05,26746.55
216,52130,Amanda Lopez,"Research Asst, Superior Court",23036.0,0.0,1893.77,5003.72,28039.72
217,53883,Robert Norton,"Research Asst, Superior Court",85250.78,16706.5,7007.41,36632.15,121882.93
218,55165,Anthony Simmons,"Research Asst, Superior Court",78195.2,9857.95,6426.82,16284.77,94479.97
219,56659,Vincent Merritt,"Research Asst, Superior Court",64793.5,6086.9,5365.64,22456.97,87250.47
220,5711,Cynthia Martinez,"Research Asst, Superior Court",2426.75,0.0,192.93,599.62,3026.37
221,7621,Danielle Matthews,"Research Asst, Superior Court",55115.56,3948.87,4538.04,17834.69,72950.25
222,8460,Alejandra Ross,"Research Asst, Superior Court",24267.5,0.0,1994.58,6061.44,30328.94
223,10768,Brett Wilson DDS,Ct Comp App Analyst,110938.07,21314.31,9249.01,42701.75,154287.82
224,31361,Stephanie Wheeler,Ct Comp App Analyst,117829.78,22631.07,9464.71,45014.02,163491.8
225,11322,Shaun Ruiz,Ct Comp App Programmer,129549.78,24874.71,9742.35,47535.3,177733.08
226,40883,Andrew Ibarra,Ct Comp App Programmer,129549.79,24874.71,9677.77,47470.72,177668.51
227,49572,Lindsay Fernandez,Ct Comp App Programmer,129549.78,24874.71,9682.63,47475.58,177673.36
228,45353,Scott Higgins,Ct Comp Facilities Coord,9679.97,0.0,769.56,769.56,10449.53
229,263,Troy Schultz,Administrative Analyst II,10829.85,2308.93,860.97,4808.6,15638.45
230,39220,Allen Myers,Administrative Analyst II,53234.03,9693.88,4178.9,20810.35,74044.38
231,42764,Patrick Torres,Administrative Analyst II,40732.32,7417.32,3349.87,16030.18,56762.5
232,35101,Maria Morgan,Court Training Specialist,107211.33,21077.07,8826.88,42822.19,150345.52
233,38913,Shelby Davis,Court Training Specialist,105954.34,20908.59,8817.75,42486.1,149088.44
234,45080,Erica Anderson,Court Training Specialist,107211.33,21010.51,8866.15,42794.9,150006.23
235,38947,Robert Hinton,Personnel/Payroll Repres,95531.57,18716.53,7943.27,39578.04,135666.77
236,48142,Cindy Alvarado,Personnel/Payroll Repres,81147.38,15917.15,6712.76,35548.15,117305.04
237,48882,Shannon Andrade,Personnel/Payroll Repres,95531.55,18843.4,7806.93,39568.57,136989.78
238,11016,Brian White,Court Staff Attorney II,81897.31,15290.52,6802.19,30380.42,113677.73
239,17148,Angela Norris,Court Staff Attorney II,130201.68,24998.73,9763.09,47680.06,178529.74
240,235,Benjamin Briggs,Court Staff Attorney II,0.0,0.0,361.45,361.45,5086.26
241,28819,Cole Walters,Court Staff Attorney II,130136.85,24863.5,9747.59,47529.34,177666.19
242,34827,Wendy Mcgee,Court Staff Attorney II,127412.48,24496.28,9754.52,46891.31,174903.79
243,39494,William Abbott,Court Staff Attorney II,130201.68,24900.48,9786.95,47605.67,177951.35
244,53521,Rachel Davis,Court Staff Attorney II,40107.9,8491.02,3192.61,15989.71,56772.61
245,55880,Patricia Glover,Court Staff Attorney II,130201.68,24994.48,9763.63,47676.35,178502.03
246,56194,Kimberly Lewis,Court Staff Attorney II,40052.69,8699.15,3417.4,16501.03,57303.72
247,6601,Rhonda Newman,Court Staff Attorney II,130136.84,24978.75,9787.85,47684.84,178421.68
248,9183,Larry Jones,Court Staff Attorney II,4373.35,0.0,347.68,347.68,4721.03
249,9567,Raymond Bryant,Court Staff Attorney II,50946.0,10606.95,3496.61,19366.55,70312.55
250,19507,Catherine Rogers,Sr Court Staff Attorney,131801.01,25142.44,9898.69,45585.35,178034.36
251,45090,Marcus Perkins,Sr Court Staff Attorney,68306.13,12139.56,5390.18,22792.73,91338.86
252,52473,Christopher Carlson,Sr Court Staff Attorney,160173.14,30736.67,10344.58,53999.49,214820.63
253,52549,Kim Washington,Sr Court Staff Attorney,160143.08,31042.01,10373.86,54334.11,216717.19
254,109,April Matthews,Court Interpreter,34550.88,7120.82,2164.96,15137.87,51263.63
255,13707,Ronnie Schmidt,Court Interpreter,56046.52,11089.66,4487.61,25070.21,81518.17
256,16731,Kimberly Young,Court Interpreter,74786.6,14698.19,5945.54,33310.79,108097.39
257,17217,Jon Sims,Court Interpreter,41436.31,8535.33,3442.1,18995.75,62292.62
258,17767,Dana Elliott,Court Interpreter,76269.6,14986.92,6088.7,33993.86,110581.27
259,17881,Jason Richardson,Court Interpreter,76234.35,14980.49,6060.63,33953.39,110187.74
260,20127,James Warren,Court Interpreter,66576.33,13230.04,5342.22,29848.69,97046.48
261,20183,Christine Lopez,Court Interpreter,53971.34,11041.62,4438.78,15480.4,71314.19
262,21952,Lisa Dunlap,Court Interpreter,76269.63,14986.92,6067.65,33972.81,110295.41
263,33247,Anthony Reed,Court Interpreter,62887.13,12628.58,5074.27,28354.42,92781.69
264,36988,Jeffrey Thompson,Court Interpreter,75845.92,14900.97,5882.89,33630.34,109476.26
265,44558,William Black,Court Interpreter,51785.68,10472.71,3968.52,23212.48,75534.67
266,54444,Jessica Mann,Court Interpreter,72517.91,14263.11,5770.06,32315.97,105015.3
267,5469,Kim Montgomery MD,Court Interpreter,56036.97,11491.64,4639.98,25622.94,83987.49
268,7275,Mary Jackson,Court Interpreter,73919.73,14559.0,5876.62,32955.85,106875.58
269,7847,Gary Salazar,Court Interpreter,71043.74,13983.06,5670.99,31687.16,103020.4
270,29189,Shane Evans,Civil Case Settlmnt Specialist,107933.5,21136.51,7333.87,38517.9,146451.4
271,11715,Teresa Daniels,Ct Comp Sys Engineer II,117829.8,22631.09,9482.09,45031.42,163509.22
272,13120,Barbara Rodriguez,Ct Comp Sys Engineer II,117829.82,22631.11,9468.34,45017.69,163495.51
273,13432,Kenneth Black,Ct Comp Sys Engineer II,117824.97,22630.23,9500.59,45049.06,163522.03
274,10936,Hannah Thomas,Administrative Analyst I,55646.54,4992.72,4529.21,9521.93,65168.47
275,39220,Richard Valdez,Admin Analyst 3,45789.5,9754.51,3610.99,19346.17,65135.67
276,42764,Philip Sanchez,Admin Analyst 3,57097.34,11788.17,4696.49,24032.27,81129.61
277,6399,Richard Carlson,Admin Analyst 3,101142.02,19834.21,8363.47,41115.92,142257.94
